"Symbol","Range","Timestamp"
"20MICRONS","1.2999999999999972","29-Jan-20"
"21STCENMGM","0.40000000000000036","29-Jan-20"
"3IINFOTECH","0.1499999999999999","29-Jan-20"
"3MINDIA","532.7999999999993","29-Jan-20"
"3PLAND","0.5999999999999996","29-Jan-20"
"5PAISA","21.0","29-Jan-20"
"63MOONS","3.700000000000003","29-Jan-20"
"762GS2039","0.0","29-Jan-20"
"A2ZINFRA","0.10000000000000053","29-Jan-20"
"AAKASH","0.5","29-Jan-20"
"AARON","0.0","29-Jan-20"
"AARTIDRUGS","33.799999999999955","29-Jan-20"
"AARTIIND","90.70000000000005","29-Jan-20"
"AARVEEDEN","0.7999999999999989","29-Jan-20"
"AAVAS","45.84999999999991","29-Jan-20"
"ABAN","0.9499999999999993","29-Jan-20"
"ABB","24.15000000000009","29-Jan-20"
"ABBOTINDIA","108.85000000000036","29-Jan-20"
"ABCAPITAL","3.3499999999999943","29-Jan-20"
"ABFRL","4.900000000000006","29-Jan-20"
"ABSLBANETF","0.0","29-Jan-20"
"ACC","28.799999999999955","29-Jan-20"
"ACCELYA","50.90000000000009","29-Jan-20"
"ACE","2.700000000000003","29-Jan-20"
"ADANIENT","7.349999999999994","29-Jan-20"
"ADANIGAS","5.949999999999989","29-Jan-20"
"ADANIGREEN","5.949999999999989","29-Jan-20"
"ADANIPORTS","14.0","29-Jan-20"
"ADANIPOWER","1.249999999999993","29-Jan-20"
"ADANITRANS","8.050000000000011","29-Jan-20"
"ADFFOODS","7.0","29-Jan-20"
"ADHUNIKIND","1.7999999999999972","29-Jan-20"
"ADLABS","0.24999999999999956","29-Jan-20"
"ADORWELD","10.0","29-Jan-20"
"ADROITINFO","0.5","29-Jan-20"
"ADSL","0.14999999999999858","29-Jan-20"
"ADVANIHOTR","4.050000000000004","29-Jan-20"
"ADVENZYMES","3.200000000000017","29-Jan-20"
"AEGISCHEM","3.6999999999999886","29-Jan-20"
"AFFLE","119.04999999999995","29-Jan-20"
"AGARIND","4.0","29-Jan-20"
"AGCNET","0.0","29-Jan-20"
"AGRITECH","1.5","29-Jan-20"
"AGROPHOS","0.0","29-Jan-20"
"AHLEAST","5.449999999999989","29-Jan-20"
"AHLUCONT","10.600000000000023","29-Jan-20"
"AHLWEST","19.899999999999977","29-Jan-20"
"AIAENG","107.04999999999995","29-Jan-20"
"AIONJSW","0.5999999999999996","29-Jan-20"
"AIRAN","1.1999999999999993","29-Jan-20"
"AJANTPHARM","36.75","29-Jan-20"
"AJMERA","3.75","29-Jan-20"
"AKASH","6.5","29-Jan-20"
"AKSHARCHEM","5.5","29-Jan-20"
"AKSHOPTFBR","0.5499999999999998","29-Jan-20"
"AKZOINDIA","129.0999999999999","29-Jan-20"
"ALANKIT","0.4499999999999993","29-Jan-20"
"ALBERTDAVD","21.200000000000045","29-Jan-20"
"ALBK","0.3500000000000014","29-Jan-20"
"ALCHEM","0.10000000000000009","29-Jan-20"
"ALEMBICLTD","6.350000000000001","29-Jan-20"
"ALICON","24.30000000000001","29-Jan-20"
"ALKALI","9.299999999999997","29-Jan-20"
"ALKEM","96.84999999999991","29-Jan-20"
"ALKYLAMINE","32.90000000000009","29-Jan-20"
"ALLCARGO","3.6000000000000085","29-Jan-20"
"ALLSEC","6.2999999999999545","29-Jan-20"
"ALMONDZ","0.75","29-Jan-20"
"ALOKTEXT","0.25","29-Jan-20"
"ALPA","1.3000000000000007","29-Jan-20"
"ALPHAGEO","13.849999999999994","29-Jan-20"
"ALPSINDUS","0.050000000000000044","29-Jan-20"
"AMARAJABAT","12.0","29-Jan-20"
"AMBER","107.0","29-Jan-20"
"AMBIKCO","16.450000000000045","29-Jan-20"
"AMBUJACEM","5.0","29-Jan-20"
"AMDIND","2.8000000000000007","29-Jan-20"
"AMJLAND","1.3999999999999986","29-Jan-20"
"AMRUTANJAN","18.649999999999977","29-Jan-20"
"ANANTRAJ","0.8000000000000043","29-Jan-20"
"ANDHRABANK","0.14999999999999858","29-Jan-20"
"ANDHRACEMT","0.15000000000000036","29-Jan-20"
"ANDHRSUGAR","17.05000000000001","29-Jan-20"
"ANDPAPER","11.0","29-Jan-20"
"ANIKINDS","1.0","29-Jan-20"
"ANKITMETAL","0.09999999999999998","29-Jan-20"
"ANSALAPI","0.20000000000000018","29-Jan-20"
"ANSALHSG","0.39999999999999947","29-Jan-20"
"ANTGRAPHIC","0.050000000000000044","29-Jan-20"
"ANUP","48.10000000000002","29-Jan-20"
"APARINDS","6.449999999999989","29-Jan-20"
"APCL","7.800000000000011","29-Jan-20"
"APCOTEXIND","5.400000000000006","29-Jan-20"
"APEX","11.699999999999989","29-Jan-20"
"APLAPOLLO","32.5","29-Jan-20"
"APLLTD","13.950000000000045","29-Jan-20"
"APOLLO","3.6500000000000057","29-Jan-20"
"APOLLOHOSP","23.90000000000009","29-Jan-20"
"APOLLOPIPE","18.0","29-Jan-20"
"APOLLOTYRE","2.3000000000000114","29-Jan-20"
"APOLSINHOT","11.0","29-Jan-20"
"APTECHT","35.30000000000001","29-Jan-20"
"ARCHIDPLY","1.8499999999999979","29-Jan-20"
"ARCHIES","0.4499999999999993","29-Jan-20"
"ARCOTECH","0.19999999999999996","29-Jan-20"
"ARIES","1.7999999999999972","29-Jan-20"
"ARIHANT","0.8500000000000014","29-Jan-20"
"ARIHANTSUP","2.1999999999999993","29-Jan-20"
"ARMANFIN","18.450000000000045","29-Jan-20"
"AROGRANITE","2.0","29-Jan-20"
"ARROWGREEN","1.25","29-Jan-20"
"ARROWTEX","0.1999999999999993","29-Jan-20"
"ARSHIYA","1.1500000000000021","29-Jan-20"
"ARSSINFRA","1.0500000000000007","29-Jan-20"
"ARTEMISMED","0.0","29-Jan-20"
"ARVIND","0.8000000000000043","29-Jan-20"
